indicator,county_code,county_name,year,window,month,age_group,sex,value,count,suppressed
self_harm_hosp_per_100k,00,Sverige,2020,2018-2022,,12_14,M,33.6,,False
self_harm_hosp_per_100k,00,Sverige,2021,2019-2023,,12_14,M,34.9,,False
self_harm_hosp_per_100k,00,Sverige,2022,2020-2024,,12_14,M,34.7,,False
self_harm_hosp_per_100k,00,Sverige,2023,2021-2025,,12_14,M,35.8,,False
self_harm_hosp_per_100k,00,Sverige,2010,2008-2012,,12_14,T,62.4,,False
self_harm_hosp_per_100k,00,Sverige,2011,2009-2013,,12_14,T,61.4,,False
self_harm_hosp_per_100k,00,Sverige,2012,2010-2014,,12_14,T,64.4,,False
self_harm_hosp_per_100k,00,Sverige,2013,2011-2015,,12_14,T,65.9,,False
self_harm_hosp_per_100k,00,Sverige,2014,2012-2016,,12_14,T,66.9,,False
self_harm_hosp_per_100k,00,Sverige,2015,2013-2017,,12_14,T,71.5,,False
self_harm_hosp_per_100k,00,Sverige,2016,2014-2018,,12_14,T,76.0,,False
self_harm_hosp_per_100k,00,Sverige,2017,2015-2019,,12_14,T,81.7,,False
self_harm_hosp_per_100k,00,Sverige,2018,2016-2020,,12_14,T,90.8,,False
self_harm_hosp_per_100k,00,Sverige,2019,2017-2021,,12_14,T,107.3,,False
self_harm_hosp_per_100k,00,Sverige,2020,2018-2022,,12_14,T,124.4,,False
self_harm_hosp_per_100k,00,Sverige,2021,2019-2023,,12_14,T,140.2,,False
self_harm_hosp_per_100k,00,Sverige,2022,2020-2024,,12_14,T,151.7,,False
self_harm_hosp_per_100k,00,Sverige,2023,2021-2025,,12_14,T,163.4,,False
self_harm_hosp_per_100k,00,Sverige,2010,2008-2012,,15_17,K,374.6,,False
self_harm_hosp_per_100k,00,Sverige,2011,2009-2013,,15_17,K,370.6,,False
self_harm_hosp_per_100k,00,Sverige,2012,2010-2014,,15_17,K,383.6,,False
self_harm_hosp_per_100k,00,Sverige,2013,2011-2015,,15_17,K,395.7,,False
self_harm_hosp_per_100k,00,Sverige,2014,2012-2016,,15_17,K,419.9,,False
self_harm_hosp_per_100k,00,Sverige,2015,2013-2017,,15_17,K,442.3,,False
self_harm_hosp_per_100k,00,Sverige,2016,2014-2018,,15_17,K,447.6,,False
self_harm_hosp_per_100k,00,Sverige,2017,2015-2019,,15_17,K,458.0,,False
self_harm_hosp_per_100k,00,Sverige,2018,2016-2020,,15_17,K,466.7,,False
self_harm_hosp_per_100k,00,Sverige,2019,2017-2021,,15_17,K,498.1,,False
self_harm_hosp_per_100k,00,Sverige,2020,2018-2022,,15_17,K,534.8,,False
self_harm_hosp_per_100k,00,Sverige,2021,2019-2023,,15_17,K,574.4,,False
self_harm_hosp_per_100k,00,Sverige,2022,2020-2024,,15_17,K,595.9,,False
self_harm_hosp_per_100k,00,Sverige,2023,2021-2025,,15_17,K,636.5,,False
self_harm_hosp_per_100k,00,Sverige,2010,2008-2012,,15_17,M,106.2,,False
self_harm_hosp_per_100k,00,Sverige,2011,2009-2013,,15_17,M,103.2,,False
self_harm_hosp_per_100k,00,Sverige,2012,2010-2014,,15_17,M,101.0,,False
self_harm_hosp_per_100k,00,Sverige,2013,2011-2015,,15_17,M,99.8,,False
self_harm_hosp_per_100k,00,Sverige,2014,2012-2016,,15_17,M,101.4,,False
self_harm_hosp_per_100k,00,Sverige,2015,2013-2017,,15_17,M,104.1,,False
self_harm_hosp_per_100k,00,Sverige,2016,2014-2018,,15_17,M,106.8,,False
self_harm_hosp_per_100k,00,Sverige,2017,2015-2019,,15_17,M,108.9,,False
self_harm_hosp_per_100k,00,Sverige,2018,2016-2020,,15_17,M,115.5,,False
self_harm_hosp_per_100k,00,Sverige,2019,2017-2021,,15_17,M,116.6,,False
self_harm_hosp_per_100k,00,Sverige,2020,2018-2022,,15_17,M,115.0,,False
self_harm_hosp_per_100k,00,Sverige,2021,2019-2023,,15_17,M,112.1,,False
self_harm_hosp_per_100k,00,Sverige,2022,2020-2024,,15_17,M,112.5,,False
self_harm_hosp_per_100k,00,Sverige,2023,2021-2025,,15_17,M,112.6,,False
self_harm_hosp_per_100k,00,Sverige,2010,2008-2012,,15_17,T,236.6,,False
self_harm_hosp_per_100k,00,Sverige,2011,2009-2013,,15_17,T,232.9,,False
self_harm_hosp_per_100k,00,Sverige,2012,2010-2014,,15_17,T,237.8,,False
self_harm_hosp_per_100k,00,Sverige,2013,2011-2015,,15_17,T,242.7,,False
self_harm_hosp_per_100k,00,Sverige,2014,2012-2016,,15_17,T,254.9,,False
self_harm_hosp_per_100k,00,Sverige,2015,2013-2017,,15_17,T,266.7,,False
self_harm_hosp_per_100k,00,Sverige,2016,2014-2018,,15_17,T,270.5,,False
self_harm_hosp_per_100k,00,Sverige,2017,2015-2019,,15_17,T,276.8,,False
self_harm_hosp_per_100k,00,Sverige,2018,2016-2020,,15_17,T,284.7,,False
self_harm_hosp_per_100k,00,Sverige,2019,2017-2021,,15_17,T,300.8,,False
self_harm_hosp_per_100k,00,Sverige,2020,2018-2022,,15_17,T,318.3,,False
self_harm_hosp_per_100k,00,Sverige,2021,2019-2023,,15_17,T,336.2,,False
self_harm_hosp_per_100k,00,Sverige,2022,2020-2024,,15_17,T,346.9,,False
self_harm_hosp_per_100k,00,Sverige,2023,2021-2025,,15_17,T,366.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2010,2008-2012,,12_14,K,112.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2011,2009-2013,,12_14,K,100.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2012,2010-2014,,12_14,K,95.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2013,2011-2015,,12_14,K,80.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2014,2012-2016,,12_14,K,71.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2015,2013-2017,,12_14,K,68.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2016,2014-2018,,12_14,K,74.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2017,2015-2019,,12_14,K,73.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2018,2016-2020,,12_14,K,70.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2019,2017-2021,,12_14,K,67.0,,False
undetermined_intent_hosp_per_100k,00,Sverige,2020,2018-2022,,12_14,K,72.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2021,2019-2023,,12_14,K,74.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2022,2020-2024,,12_14,K,75.2,,False
undetermined_intent_hosp_per_100k,00,Sverige,2023,2021-2025,,12_14,K,79.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2010,2008-2012,,12_14,M,144.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2011,2009-2013,,12_14,M,128.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2012,2010-2014,,12_14,M,119.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2013,2011-2015,,12_14,M,99.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2014,2012-2016,,12_14,M,89.1,,False
undetermined_intent_hosp_per_100k,00,Sverige,2015,2013-2017,,12_14,M,90.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2016,2014-2018,,12_14,M,94.2,,False
undetermined_intent_hosp_per_100k,00,Sverige,2017,2015-2019,,12_14,M,91.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2018,2016-2020,,12_14,M,87.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2019,2017-2021,,12_14,M,83.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2020,2018-2022,,12_14,M,84.1,,False
undetermined_intent_hosp_per_100k,00,Sverige,2021,2019-2023,,12_14,M,88.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2022,2020-2024,,12_14,M,87.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2023,2021-2025,,12_14,M,85.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2010,2008-2012,,12_14,T,129.2,,False
undetermined_intent_hosp_per_100k,00,Sverige,2011,2009-2013,,12_14,T,115.2,,False
undetermined_intent_hosp_per_100k,00,Sverige,2012,2010-2014,,12_14,T,108.2,,False
undetermined_intent_hosp_per_100k,00,Sverige,2013,2011-2015,,12_14,T,90.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2014,2012-2016,,12_14,T,80.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2015,2013-2017,,12_14,T,79.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2016,2014-2018,,12_14,T,84.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2017,2015-2019,,12_14,T,82.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2018,2016-2020,,12_14,T,79.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2019,2017-2021,,12_14,T,75.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2020,2018-2022,,12_14,T,78.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2021,2019-2023,,12_14,T,81.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2022,2020-2024,,12_14,T,81.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2023,2021-2025,,12_14,T,82.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2010,2008-2012,,15_17,K,142.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2011,2009-2013,,15_17,K,129.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2012,2010-2014,,15_17,K,117.0,,False
undetermined_intent_hosp_per_100k,00,Sverige,2013,2011-2015,,15_17,K,106.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2014,2012-2016,,15_17,K,96.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2015,2013-2017,,15_17,K,85.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2016,2014-2018,,15_17,K,86.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2017,2015-2019,,15_17,K,86.3,,False
undetermined_intent_hosp_per_100k,00,Sverige,2018,2016-2020,,15_17,K,84.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2019,2017-2021,,15_17,K,82.0,,False
undetermined_intent_hosp_per_100k,00,Sverige,2020,2018-2022,,15_17,K,88.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2021,2019-2023,,15_17,K,91.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2022,2020-2024,,15_17,K,99.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2023,2021-2025,,15_17,K,102.0,,False
undetermined_intent_hosp_per_100k,00,Sverige,2010,2008-2012,,15_17,M,181.2,,False
undetermined_intent_hosp_per_100k,00,Sverige,2011,2009-2013,,15_17,M,160.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2012,2010-2014,,15_17,M,144.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2013,2011-2015,,15_17,M,129.3,,False
undetermined_intent_hosp_per_100k,00,Sverige,2014,2012-2016,,15_17,M,114.2,,False
undetermined_intent_hosp_per_100k,00,Sverige,2015,2013-2017,,15_17,M,111.8,,False
undetermined_intent_hosp_per_100k,00,Sverige,2016,2014-2018,,15_17,M,116.1,,False
undetermined_intent_hosp_per_100k,00,Sverige,2017,2015-2019,,15_17,M,118.7,,False
undetermined_intent_hosp_per_100k,00,Sverige,2018,2016-2020,,15_17,M,115.3,,False
undetermined_intent_hosp_per_100k,00,Sverige,2019,2017-2021,,15_17,M,112.0,,False
undetermined_intent_hosp_per_100k,00,Sverige,2020,2018-2022,,15_17,M,116.3,,False
undetermined_intent_hosp_per_100k,00,Sverige,2021,2019-2023,,15_17,M,116.1,,False
undetermined_intent_hosp_per_100k,00,Sverige,2022,2020-2024,,15_17,M,116.1,,False
undetermined_intent_hosp_per_100k,00,Sverige,2023,2021-2025,,15_17,M,118.3,,False
undetermined_intent_hosp_per_100k,00,Sverige,2010,2008-2012,,15_17,T,162.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2011,2009-2013,,15_17,T,145.6,,False
undetermined_intent_hosp_per_100k,00,Sverige,2012,2010-2014,,15_17,T,131.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2013,2011-2015,,15_17,T,118.4,,False
undetermined_intent_hosp_per_100k,00,Sverige,2014,2012-2016,,15_17,T,105.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2015,2013-2017,,15_17,T,99.1,,False
undetermined_intent_hosp_per_100k,00,Sverige,2016,2014-2018,,15_17,T,101.9,,False
undetermined_intent_hosp_per_100k,00,Sverige,2017,2015-2019,,15_17,T,103.1,,False
undetermined_intent_hosp_per_100k,00,Sverige,2018,2016-2020,,15_17,T,100.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2019,2017-2021,,15_17,T,97.5,,False
undetermined_intent_hosp_per_100k,00,Sverige,2020,2018-2022,,15_17,T,103.0,,False
undetermined_intent_hosp_per_100k,00,Sverige,2021,2019-2023,,15_17,T,104.3,,False
undetermined_intent_hosp_per_100k,00,Sverige,2022,2020-2024,,15_17,T,108.0,,False
undetermined_intent_hosp_per_100k,00,Sverige,2023,2021-2025,,15_17,T,110.3,,False
self_harm_hosp_per_100k,01,Stockholm,2010,2008-2012,,12_14,K,100.0,,False
self_harm_hosp_per_100k,01,Stockholm,2011,2009-2013,,12_14,K,95.6,,False
self_harm_hosp_per_100k,01,Stockholm,2012,2010-2014,,12_14,K,110.4,,False
self_harm_hosp_per_100k,01,Stockholm,2013,2011-2015,,12_14,K,125.6,,False
self_harm_hosp_per_100k,01,Stockholm,2014,2012-2016,,12_14,K,124.5,,False
self_harm_hosp_per_100k,01,Stockholm,2015,2013-2017,,12_14,K,132.7,,False
self_harm_hosp_per_100k,01,Stockholm,2016,2014-2018,,12_14,K,145.4,,False
self_harm_hosp_per_100k,01,Stockholm,2017,2015-2019,,12_14,K,147.6,,False
self_harm_hosp_per_100k,01,Stockholm,2018,2016-2020,,12_14,K,154.6,,False
self_harm_hosp_per_100k,01,Stockholm,2019,2017-2021,,12_14,K,201.6,,False
self_harm_hosp_per_100k,01,Stockholm,2020,2018-2022,,12_14,K,235.3,,False
self_harm_hosp_per_100k,01,Stockholm,2021,2019-2023,,12_14,K,264.9,,False
self_harm_hosp_per_100k,01,Stockholm,2022,2020-2024,,12_14,K,287.6,,False
self_harm_hosp_per_100k,01,Stockholm,2023,2021-2025,,12_14,K,306.3,,False
self_harm_hosp_per_100k,01,Stockholm,2010,2008-2012,,12_14,M,22.0,,False
self_harm_hosp_per_100k,01,Stockholm,2011,2009-2013,,12_14,M,20.4,,False
self_harm_hosp_per_100k,01,Stockholm,2012,2010-2014,,12_14,M,20.7,,False
self_harm_hosp_per_100k,01,Stockholm,2013,2011-2015,,12_14,M,20.0,,False
self_harm_hosp_per_100k,01,Stockholm,2014,2012-2016,,12_14,M,21.6,,False
self_harm_hosp_per_100k,01,Stockholm,2015,2013-2017,,12_14,M,23.7,,False
self_harm_hosp_per_100k,01,Stockholm,2016,2014-2018,,12_14,M,23.3,,False
self_harm_hosp_per_100k,01,Stockholm,2017,2015-2019,,12_14,M,25.7,,False
self_harm_hosp_per_100k,01,Stockholm,2018,2016-2020,,12_14,M,27.7,,False
self_harm_hosp_per_100k,01,Stockholm,2019,2017-2021,,12_14,M,25.5,,False
self_harm_hosp_per_100k,01,Stockholm,2020,2018-2022,,12_14,M,25.5,,False
self_harm_hosp_per_100k,01,Stockholm,2021,2019-2023,,12_14,M,24.7,,False
self_harm_hosp_per_100k,01,Stockholm,2022,2020-2024,,12_14,M,23.9,,False
self_harm_hosp_per_100k,01,Stockholm,2023,2021-2025,,12_14,M,21.2,,False
self_harm_hosp_per_100k,01,Stockholm,2010,2008-2012,,12_14,T,60.1,,False
self_harm_hosp_per_100k,01,Stockholm,2011,2009-2013,,12_14,T,57.1,,False
self_harm_hosp_per_100k,01,Stockholm,2012,2010-2014,,12_14,T,64.5,,False
self_harm_hosp_per_100k,01,Stockholm,2013,2011-2015,,12_14,T,71.5,,False
self_harm_hosp_per_100k,01,Stockholm,2014,2012-2016,,12_14,T,71.8,,False
self_harm_hosp_per_100k,01,Stockholm,2015,2013-2017,,12_14,T,76.9,,False
self_harm_hosp_per_100k,01,Stockholm,2016,2014-2018,,12_14,T,82.8,,False
self_harm_hosp_per_100k,01,Stockholm,2017,2015-2019,,12_14,T,85.0,,False
self_harm_hosp_per_100k,01,Stockholm,2018,2016-2020,,12_14,T,89.3,,False
self_harm_hosp_per_100k,01,Stockholm,2019,2017-2021,,12_14,T,111.0,,False
self_harm_hosp_per_100k,01,Stockholm,2020,2018-2022,,12_14,T,127.2,,False
self_harm_hosp_per_100k,01,Stockholm,2021,2019-2023,,12_14,T,141.1,,False
self_harm_hosp_per_100k,01,Stockholm,2022,2020-2024,,12_14,T,151.6,,False
self_harm_hosp_per_100k,01,Stockholm,2023,2021-2025,,12_14,T,159.1,,False
self_harm_hosp_per_100k,01,Stockholm,2010,2008-2012,,15_17,K,392.2,,False
self_harm_hosp_per_100k,01,Stockholm,2011,2009-2013,,15_17,K,410.0,,False
self_harm_hosp_per_100k,01,Stockholm,2012,2010-2014,,15_17,K,437.5,,False
self_harm_hosp_per_100k,01,Stockholm,2013,2011-2015,,15_17,K,448.9,,False
self_harm_hosp_per_100k,01,Stockholm,2014,2012-2016,,15_17,K,479.6,,False
self_harm_hosp_per_100k,01,Stockholm,2015,2013-2017,,15_17,K,506.5,,False
self_harm_hosp_per_100k,01,Stockholm,2016,2014-2018,,15_17,K,496.9,,False
self_harm_hosp_per_100k,01,Stockholm,2017,2015-2019,,15_17,K,489.8,,False
self_harm_hosp_per_100k,01,Stockholm,2018,2016-2020,,15_17,K,486.9,,False
self_harm_hosp_per_100k,01,Stockholm,2019,2017-2021,,15_17,K,518.4,,False
self_harm_hosp_per_100k,01,Stockholm,2020,2018-2022,,15_17,K,530.4,,False
self_harm_hosp_per_100k,01,Stockholm,2021,2019-2023,,15_17,K,546.1,,False
self_harm_hosp_per_100k,01,Stockholm,2022,2020-2024,,15_17,K,554.4,,False
self_harm_hosp_per_100k,01,Stockholm,2023,2021-2025,,15_17,K,584.7,,False
self_harm_hosp_per_100k,01,Stockholm,2010,2008-2012,,15_17,M,89.9,,False
self_harm_hosp_per_100k,01,Stockholm,2011,2009-2013,,15_17,M,88.7,,False
self_harm_hosp_per_100k,01,Stockholm,2012,2010-2014,,15_17,M,87.1,,False
self_harm_hosp_per_100k,01,Stockholm,2013,2011-2015,,15_17,M,91.1,,False
self_harm_hosp_per_100k,01,Stockholm,2014,2012-2016,,15_17,M,92.4,,False
self_harm_hosp_per_100k,01,Stockholm,2015,2013-2017,,15_17,M,94.8,,False
self_harm_hosp_per_100k,01,Stockholm,2016,2014-2018,,15_17,M,93.7,,False
self_harm_hosp_per_100k,01,Stockholm,2017,2015-2019,,15_17,M,98.8,,False
self_harm_hosp_per_100k,01,Stockholm,2018,2016-2020,,15_17,M,101.0,,False
self_harm_hosp_per_100k,01,Stockholm,2019,2017-2021,,15_17,M,100.2,,False
self_harm_hosp_per_100k,01,Stockholm,2020,2018-2022,,15_17,M,98.5,,False
self_harm_hosp_per_100k,01,Stockholm,2021,2019-2023,,15_17,M,95.2,,False
self_harm_hosp_per_100k,01,Stockholm,2022,2020-2024,,15_17,M,94.6,,False
self_harm_hosp_per_100k,01,Stockholm,2023,2021-2025,,15_17,M,93.4,,False
self_harm_hosp_per_100k,01,Stockholm,2010,2008-2012,,15_17,T,236.6,,False
self_harm_hosp_per_100k,01,Stockholm,2011,2009-2013,,15_17,T,244.8,,False
self_harm_hosp_per_100k,01,Stockholm,2012,2010-2014,,15_17,T,257.3,,False
self_harm_hosp_per_100k,01,Stockholm,2013,2011-2015,,15_17,T,265.0,,False
self_harm_hosp_per_100k,01,Stockholm,2014,2012-2016,,15_17,T,280.3,,False
self_harm_hosp_per_100k,01,Stockholm,2015,2013-2017,,15_17,T,294.3,,False
self_harm_hosp_per_100k,01,Stockholm,2016,2014-2018,,15_17,T,288.8,,False
self_harm_hosp_per_100k,01,Stockholm,2017,2015-2019,,15_17,T,288.0,,False
self_harm_hosp_per_100k,01,Stockholm,2018,2016-2020,,15_17,T,287.9,,False
self_harm_hosp_per_100k,01,Stockholm,2019,2017-2021,,15_17,T,303.2,,False
self_harm_hosp_per_100k,01,Stockholm,2020,2018-2022,,15_17,T,308.4,,False
self_harm_hosp_per_100k,01,Stockholm,2021,2019-2023,,15_17,T,314.2,,False
self_harm_hosp_per_100k,01,Stockholm,2022,2020-2024,,15_17,T,317.8,,False
self_harm_hosp_per_100k,01,Stockholm,2023,2021-2025,,15_17,T,331.7,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2010,2008-2012,,12_14,K,68.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2011,2009-2013,,12_14,K,68.3,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2012,2010-2014,,12_14,K,78.6,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2013,2011-2015,,12_14,K,59.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2014,2012-2016,,12_14,K,63.9,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2015,2013-2017,,12_14,K,67.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2016,2014-2018,,12_14,K,73.6,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2017,2015-2019,,12_14,K,76.7,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2018,2016-2020,,12_14,K,75.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2019,2017-2021,,12_14,K,68.9,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2020,2018-2022,,12_14,K,66.3,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2021,2019-2023,,12_14,K,64.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2022,2020-2024,,12_14,K,56.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2023,2021-2025,,12_14,K,61.9,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2010,2008-2012,,12_14,M,98.0,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2011,2009-2013,,12_14,M,102.3,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2012,2010-2014,,12_14,M,108.4,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2013,2011-2015,,12_14,M,82.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2014,2012-2016,,12_14,M,84.4,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2015,2013-2017,,12_14,M,95.6,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2016,2014-2018,,12_14,M,100.5,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2017,2015-2019,,12_14,M,98.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2018,2016-2020,,12_14,M,96.0,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2019,2017-2021,,12_14,M,84.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2020,2018-2022,,12_14,M,79.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2021,2019-2023,,12_14,M,81.7,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2022,2020-2024,,12_14,M,78.9,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2023,2021-2025,,12_14,M,78.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2010,2008-2012,,12_14,T,83.4,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2011,2009-2013,,12_14,T,85.7,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2012,2010-2014,,12_14,T,93.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2013,2011-2015,,12_14,T,71.3,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2014,2012-2016,,12_14,T,74.4,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2015,2013-2017,,12_14,T,81.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2016,2014-2018,,12_14,T,87.4,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2017,2015-2019,,12_14,T,88.0,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2018,2016-2020,,12_14,T,85.9,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2019,2017-2021,,12_14,T,76.8,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2020,2018-2022,,12_14,T,73.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2021,2019-2023,,12_14,T,73.5,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2022,2020-2024,,12_14,T,68.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2023,2021-2025,,12_14,T,70.3,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2010,2008-2012,,15_17,K,122.9,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2011,2009-2013,,15_17,K,122.2,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2012,2010-2014,,15_17,K,115.4,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2013,2011-2015,,15_17,K,116.1,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2014,2012-2016,,15_17,K,114.7,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2015,2013-2017,,15_17,K,95.0,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2016,2014-2018,,15_17,K,96.1,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2017,2015-2019,,15_17,K,93.9,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2018,2016-2020,,15_17,K,87.3,,False
undetermined_intent_hosp_per_100k,01,Stockholm,2019,2017-2021,,15_17,K,87.8,,False
