hsaId,name,ownership,isFamiljecentral,address,phone,lat,lon,lanCode,kommunCode,kommungrupp,unitCode,spark_startYear,spark_endYear,spark_weightedDemand,spark_rj,spark_children05,url_1177,coord_source,spark_verify_1177,fetched_at
SE2321000016-161K,Spånga vårdcentral,Region,True,"Solhems hagväg 10, Spånga",08-123 427 82,59.3879754,17.9031196,01,0180,A,01_17230009000,2019,2023,9233,0.000108,514,https://www.1177.se/hitta-vard/kontaktkort/Spanga-Tensta-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-D0LV,"Björkhagens husläkarmottagning, Enskede/Årsta/Vantör",Privat,False,"Halmstadsvägen 41, JOHANNESHOV",08-409 158 14,59.2902933,18.1174617,01,0180,A,01_18105009200,2020,2023,11917,8.4e-05,1059,https://www.1177.se/hitta-vard/kontaktkort/Mama-Mia-Bjorkhagens-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-GF86,Capio Farsta BHV,Privat,True,"Farstagången 26B, FARSTA",08-604 00 07,59.242026,18.0902368,01,0180,A,01_18140009000,2022,2023,11611,8.6e-05,3232,https://www.1177.se/hitta-vard/kontaktkort/Capio-BVC-Farsta-amningsmottagning/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-14HX,Fisksätra vårdcentral,Region,True,"Fisksätra torg 20, Saltsjöbaden",08-123 429 40,59.2934252,18.2572792,01,0182,A,01_18150009000,2020,2023,3361,0.000297,573,https://www.1177.se/hitta-vard/kontaktkort/Fisksatra-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-502N,Capio Vårdcentral Rågsved,Privat,True,"Rågsvedsslingan 12B, BANDHAGEN",08-555 680 71,59.2573869,18.0266406,01,0180,A,01_18167009000,2018,2023,11823,8.5e-05,1907,https://www.1177.se/hitta-vard/kontaktkort/Capio-Barnavardscentral-Ragsved/,,live_2026-07-21,2026-08-26
SE2321000016-14H7,Skärholmens vårdcentral,Region,False,"Storholmsgatan 27, Skärholmen",08-123 417 60,59.2741973,17.9082096,01,0180,A,01_19101009000,2018,2023,11567,8.6e-05,643,https://www.1177.se/hitta-vard/kontaktkort/Skarholmens-BVC-Skarholmens-vardcentral/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-14L4,Vårby vårdcentral,Region,True,"Vårby allé 14, Vårby",08-123 388 17,59.2637232,17.8849746,01,0126,A,01_19108009000,2020,2023,8685,0.000115,1813,https://www.1177.se/hitta-vard/kontaktkort/Varby-BVC-Varby-vardcentral/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
,Flemingsbergs vårdcentral,Region,False,,,59.357337,17.9769294,01,0184,A,01_19123009000,2019,2023,13037,7.7e-05,1106,,,,2026-08-26
SE2321000016-14MK,Fittja vårdcentral,Region,True,"Fittja torg 31, Norsborg",08-123 428 25,59.2486126,17.8616853,01,0127,A,01_19144009000,2022,2023,7694,0.00013,658,https://www.1177.se/hitta-vard/kontaktkort/Fittja-BVC-Fittja-vardcentral/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-11G6,Capio Wasa BHV,Privat,True,"Prästgårdsvägen 4, SÖDERTÄLJE",08-550 288 20,59.195289,17.5853312,01,0181,B,01_19166009000,2016,2023,1939,0.000516,1093,https://www.1177.se/hitta-vard/kontaktkort/Capio-Barnavardscentral-Wasa-Sodertalje/,,live_2026-07-21,2026-08-26
SE2321000164-10GF,Mikaeli vårdcentral,Region,False,"Familjecentralen, Hjalmar Bergmans väg 50 703 59 Örebro",019-602 48 00,59.2882113,15.1990181,18,1880,B,18_SE2321000164-7381037594964,2019,2023,6103,0.000164,231,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-BVC-Mikaeli-vardcentral/,,live_2026-07-21,2026-08-26
SE2321000131-F000000000642,Capio Läkarhus Angered,Privat,False,"Kultivatorgatan 3, 424 65, Angered",031-722 11 80,57.797574,12.0490538,14,1480,A,14_SE2321000131-E000000007635,2020,2023,10236,9.8e-05,1223,https://www.1177.se/hitta-vard/kontaktkort/BVC-Capio-Vardcentral-Angered-Angered/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000131-F000000000601,Capio Läkarhus Hjortmossen,Privat,False,"Lasarettsvägen 2, 461 52, Trollhättan",0520-47 45 00,58.2737137,12.2902642,14,1488,B,14_SE2321000131-E000000007513,2018,2023,4126,0.000242,618,https://www.1177.se/hitta-vard/kontaktkort/BVC-Capio-Vardcentral-Hjortmossen-Trollhattan/,,live_2026-07-21,2026-08-26
SE2321000131-E000000006731,Närhälsan Hjällbo vårdcentral,Region,True,"Bergsgårdsgärdet 89 B, 42432, Angered",,57.7689273,12.0191203,14,1480,A,14_SE2321000131-E000000006731,2019,2023,14914,6.7e-05,1357,https://www.1177.se/hitta-vard/kontaktkort/Narhalsan-Hjallbo-vardcentral-Angered/,,live_2026-07-21,2026-08-26
SE2321000131-E000000006726,Närhälsan Lövgärdet vårdcentral,Region,True,"Vaniljgatan 28, 42445, Angered",,57.8159777,12.0417314,14,1480,A,14_SE2321000131-E000000006726,2019,2023,7777,0.000129,1200,https://www.1177.se/hitta-vard/kontaktkort/Narhalsan-Lovgardet-vardcentral-Angered/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000131-F000000001302,Närhälsan Opaltorget vårdcentral,Region,True,"Zirkongatan 7, 421 64, Västra Frölunda",031-747 83 90,57.6422021,11.8993818,14,1480,A,14_SE2321000131-E000000006713,2019,2023,12761,7.8e-05,1162,https://www.1177.se/hitta-vard/kontaktkort/Narhalsan-Opaltorget-barnavardscentral-Vastra-Frolunda/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O17550,Barnavårdscentralen Perstorp,Region,True,"Stockholmsvägen 40, Perstorp",0435-66 63 30,56.1382297,13.4022715,12,1275,,12_SE162321000255-O17550,2020,2022,1033,0.000967,449,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Perstorp/,,live_2026-07-21,2026-08-26
SE162321000255-O17532,Barnavårdscentralen Familjecentralen Samovaren,Region,True,"Svenshögsvägen 6, Arlöv",040-623 41 00,55.6345471,13.0854687,12,1231,,12_SE162321000255-O17532,2020,2022,14148,7.1e-05,821,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Familjecentralen-Samovaren-Arlov/,,live_2026-07-21,2026-08-26
SE162321000255-O17549,Barnavårdscentralen Osby,Region,True,"Marklundavägen 8E, Osby",0479-89 84 11,56.3827288,14.0081767,12,1273,,12_SE162321000255-O17549,2020,2022,1618,0.000618,275,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Osby/,,live_2026-07-21,2026-08-26
SE162321000255-O17544,Vårdcentralen Knislinge,Region,False,"Påls väg 2, Knislinge",044-309 03 38,56.1929175,14.0886479,12,1256,B,12_SE162321000255-O17544,2019,2022,1438,0.000695,522,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Knislinge/,,live_2026-07-21,2026-08-26
SE162321000255-O17538,Barnavårdscentralen Dalby,Region,False,,,55.6636248,13.3508141,12,1281,,12_SE162321000255-O17538,2020,2022,6390,0.000156,572,,,no_live_card_2026-07-21,2026-08-26
SE162321000255-O17552,Barnavårdscentralen Familjecentralen Paletten,Region,True,"Bråhögsplatsen 2A, Staffanstorp",046-275 18 00,55.643261,13.204666,12,1230,,12_SE162321000255-O17552,2020,2022,7903,0.000127,179,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Familjecentralen-Paletten/,,live_2026-07-21,2026-08-26
SE162321000255-O17553,Barnavårdscentralen Svalöv,Region,True,"Skolgatan 20C, Svalöv",0418-65 15 85,55.9203478,13.1089126,12,1214,,12_SE162321000255-O17553,2020,2022,588,0.0017,722,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Svalov/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O17571,Barnavårdscentralen Eden,Region,True,"Möllevångsgatan 24, Malmö",040-623 91 21,55.5933899,13.0043281,12,1280,,12_SE162321000255-O17571,2020,2022,16934,5.9e-05,334,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Eden/,,live_2026-07-21,2026-08-26
SE162321000255-O17577,Barnavårdscentralen Grankotten,Region,True,"Grangatan 11, Malmö",040-623 42 18,55.6041967,13.024749,12,1280,,12_SE162321000255-O17577,2020,2022,17050,5.9e-05,552,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Grankotten/,,live_2026-07-21,2026-08-26
SE162321000255-O17591,Barnavårdscentralen Lunden,Region,False,"Fagerstagatan 1B, Malmö",040-623 93 69,55.5881652,13.0210312,12,1280,A,12_SE162321000255-O17591,2020,2022,17593,5.7e-05,576,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Lunden/,,live_2026-07-21,2026-08-26
SE162321000255-O17596,Barnavårdscentralen Näsby,Region,True,"Näsbychaussén 70, Kristianstad",044-309 01 24,56.0554244,14.1591685,12,1290,,12_SE162321000255-O17596,2020,2022,2935,0.000341,1173,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Nasby/,,live_2026-07-21,2026-08-26
SE162321000255-O17603,Barnavårdscentralen Solstrålen,Region,True,"Von Troils väg 8B, Malmö",040-623 42 70,55.5854503,13.0508083,12,1280,,12_SE162321000255-O17603,2020,2022,17280,5.8e-05,0,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Solstralen/,,live_2026-07-21,2026-08-26
SE162321000255-O17557,Capio Barnavårdscentral Tomelilla,Privat,True,"Skolgatan 4, Tomelilla",0417-49 78 22,55.5476408,13.9437552,12,1270,,12_SE162321000255-O17982,2020,2022,2317,0.000431,635,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Tomelilla/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O17976,Familjernas Hus Höllviken - BVC Näsets Läkargrupp,Privat,True,"Kungstorpsvägen 10, Höllviken",040-45 96 42,55.4262915,12.9647823,12,1233,,12_SE162321000255-O17976,2020,2022,2734,0.000366,1292,https://www.1177.se/hitta-vard/kontaktkort/Familjernas-Hus-Hollviken-BVC-Nasets-Lakargrupp-Hollviken/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O17673,Mama Mia Livets BVC,Privat,False,"Hamngatan 9, Trelleborg",0410-30 13 92,55.3729964,13.153945,12,1287,,12_SE162321000255-O17673,2020,2022,1635,0.000611,170,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Mama-Mia-Livets-Trelleborg-Trelleborg/,,live_2026-07-21,2026-08-26
SE162321000255-O17646,Barnavårdscentralen Sjöbo,Region,True,"Björkvägen 3, Sjöbo",0416-49 77 00,55.6261801,13.7007977,12,1265,,12_SE162321000255-O17646,2020,2022,986,0.001013,823,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Sjobo/,,live_2026-07-21,2026-08-26
SE162321000255-O17644,Barnavårdscentralen Tellus,Region,True,"Titangatan 10, Landskrona",0418-65 14 78,55.8881076,12.84248,12,1282,,12_SE162321000255-O17644,2019,2022,3989,0.000251,987,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Tellus/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O17642,Barnavårdscentralen Ystad,Region,False,"Hamngatan 4, Ystad",0411-99 58 10,55.4287251,13.8210916,12,1286,,12_SE162321000255-O17642,2020,2022,2405,0.000416,286,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Ystad/,,live_2026-07-21,2026-08-26
SE162321000255-O19536,Barnavårdscentralen Familjecentralen Bjuv,Region,False,"Norra Storgatan 10C, Bjuv",070-970 08 03,56.0864385,12.9161626,12,1260,,12_SE162321000255-O17633,2020,2022,6469,0.000155,1077,https://www.1177.se/hitta-vard/kontaktkort/Mama-Mia-BVC-Bjuv/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O17619,Barnavårdscentralen Östermalm,Region,False,"Österlånggatan 30B, Kristianstad",044-309 00 50,56.0302625,14.1617483,12,1290,,12_SE162321000255-O17619,2020,2022,3083,0.000324,598,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Ostermalm/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O23357,Mama Mia BVC Adolfsberg Helsingborg,Privat,False,"Rundgången 26, Helsingborg",042-21 00 01,56.0637901,12.7108014,12,1283,,12_SE162321000255-O27405,2020,2022,9462,0.000106,663,https://www.1177.se/hitta-vard/kontaktkort/Kulans-BVC-Helsingborg/,,live_2026-07-21,2026-08-26
SE162321000255-O20637,Helsingborgs Barnavårdscentral,Privat,True,"Nedre nytorgsgatan 13, Helsingborg",042-12 91 10,56.0388287,12.7037573,12,1283,,12_SE162321000255-O20637,2020,2022,8798,0.000114,1310,https://www.1177.se/hitta-vard/kontaktkort/Helsingborgs-Barnavardscentral/,,live_2026-07-21,2026-08-26
SE162321000255-O24440,BVC Bambino Lindängen,Privat,True,"Lindängsstigen 14, Malmö",040-618 88 15,55.5596175,13.0167191,12,1280,,12_SE162321000255-O24440,2019,2022,15825,6.3e-05,769,https://www.1177.se/hitta-vard/kontaktkort/BVC-Bambino-Lindangen-Malmo/,,live_2026-07-21,2026-08-26
SE162321000255-O19869,Doktor se Örestadsklinikens Barnavårdscentral,Privat,False,"Eddagatan 4, Malmö",040-16 32 00,55.5856861,12.9709651,12,1280,,12_SE162321000255-O19869,2020,2022,14710,6.8e-05,923,https://www.1177.se/hitta-vard/kontaktkort/Doktor-se-Orestadsklinikens-Barnavardscentral-Malmo/,,live_2026-07-21,2026-08-26
SE2321000164-10GR,BVC Varberga,Region,False,"Varbergagatan 75, Örebro, Entré B (följ orange skylt mot BVC), våning 2.",019-602 29 75,59.2866063,15.1804542,18,1880,B,18_SE2321000164-7381037594896,2019,2022,6762,0.000148,1522,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-BVC-Varberga-vardcentral/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000131-F000000000639,Nötkärnan Friskväderstorget Vårdcentral och BVC,Privat,True,"Friskväderstorget 8, 418 38, Göteborg",031-792 87 00,57.7248903,11.8924714,14,1480,A,14_SE2321000131-E000000007631,2019,2021,14682,6.8e-05,1896,https://www.1177.se/hitta-vard/kontaktkort/BVC-Notkarnan-Friskvadertorget-Familjelakare-och-BVC-Biskopsgarden/,,live_2026-07-21,2026-08-26
SE2321000164-10G1,Kopparbergs vårdcentral,Region,False,"Bergmästaregatan 17, Kopparberg",0580-887 02,59.8746761,15.002517,18,1864,,18_SE2321000164-7381037595237,2019,2021,572,0.001747,185,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-BVC-Kopparbergs-vardcentral-Kopparberg/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000024-0054339,"Barnavårdscentral Flogsta vårdcentral, Uppsala",Region,False,"Herrhagsvägen 187, Uppsala",018-617 00 10,59.850996,17.5596529,03,0380,,03_SE162321000024-0054339,,,5693,0.000176,964,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Stenhagens-vardcentral/,,live_2026-07-21,2026-08-26
SE162321000024-0023160,"Barnavårdscentral Heby vårdcentral, Heby",Region,False,"Brogatan 16, Heby",018-611 07 50,59.9420295,16.8609295,03,0331,,03_SE162321000024-0023160,,,1362,0.000734,233,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Heby-vardcentral-Heby/,,live_2026-07-21,2026-08-26
SE2321000198-054424,Barnavårdscentral Södertull Din hälsocentral,Region,False,"Kaserngatan 48, 802 53 Gävle",026-15 55 31,60.6664812,17.1495721,21,2180,,21_SE2321000198-054424,,,4586,0.000218,797,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Sodertull-Din-halsocentral/,,live_2026-07-21,2026-08-26
SE2321000032-43NQ,Barnavårdscentralen Familjecentralen Centrum Flen,Region,False,Storgatan 21,0157-185 25,59.057961,16.5786665,04,0482,,04_SE2321000032-43NQ,,,838,0.001193,122,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Familjecentralen-Flen-Flen/,,live_2026-07-21,2026-08-26
SE2321000032-4BS3,"Barnavårdscentralen Familjecentralen Vårdcentralen City, Vårdcentralen City Eskilstuna, Region Sörmland",Unknown,False,Kungsgatan 39,016-10 40 47,59.3717104,16.5072299,04,0484,,04_SE2321000032-4BS3,,,3472,0.000288,89,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Vardcentralen-City-Eskilstuna-Region-Sormland/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000156-4B0R,Barnavårdscentralen Västerstrand Karlstad,Region,False,"Våxnäs Torg 4, Karlstad",010-831 87 32,59.3860116,13.4625088,17,1780,,17_SE162321000156-4B0R,,,5102,0.000196,957,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Vasterstrand-Karlstad/,,live_2026-07-21,2026-08-26
SE2321000057-9TZW,Barnhälsovården Rosenlund,Privat,True,"Familjecentralen, Hermansvägen 5, Jönköping",010-243 49 80,57.778325,14.2069818,06,0680,,06_SE2321000057-9TZW,,,2382,0.00042,882,https://www.1177.se/hitta-vard/kontaktkort/Barnhalsovarden-Rosenlund-Jonkoping/,,live_2026-07-21,2026-08-26
SE2321000040-6VT7,"Barnhälsovården SVC, Kry Vårdcentral Kneippen",Unknown,False,"Dalviksgatan 69, Norrköping",011-19 08 15,58.5730302,16.1475535,05,0581,,05_SE2321000040-6VT7,,,5070,0.000197,430,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Kry-Vardcentral-Skarptorp/,,live_2026-07-21,2026-08-26
,Barnängens BVC,Unknown,False,,,59.3130356,18.1011901,01,0180,,01_X0062,,,13394,7.5e-05,715,,,,2026-08-26
SE2321000131-E000000007622,Bohus BVC,Privat,True,,,57.8514616,12.0164194,14,1440,,14_SE2321000131-E000000007622,,,10025,0.0001,604,,,identity_mismatch_2026-07-21,2026-08-26
SE2321000131-F000000000546,"Brämhults Vårdcentral, Brämhult",Privat,False,"Tvinnargatan 19, 507 30, Brämhult",033-20 28 60,57.7260498,13.0039423,14,1490,,14_SE2321000131-F000000000546,,,4646,0.000215,0,https://www.1177.se/hitta-vard/kontaktkort/BVC-Bramhults-vardcentral-Bramhult/,,live_2026-07-21,2026-08-26
SE2321000016-1519,Danderyds bvc,Region,True,"Golfvägen 8, Danderyd",08-123 365 14,59.3982538,18.0360673,01,0162,,01_SE2321000016-1519,,,15506,6.4e-05,1880,https://www.1177.se/hitta-vard/kontaktkort/Danderyds-BVC/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000206-E00463,Familjecentralen Södra Sundet,Privat,True,Södra Vägen 5,,62.6244043,17.9298362,22,2280,,22_SE2321000206-E00463,,,1473,0.000679,273,https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Sodra-sundet/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000172-2CPR,Grindberga Barnavårdscentral,Region,False,"Österled 30, Arboga",0589-865 22,59.3909776,15.834983,19,1984,,19_SE2321000172-2CPR,,,788,0.001268,782,https://www.1177.se/hitta-vard/kontaktkort/Grindberga-Barnavardscentral-Arboga/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE162321000255-O33184,Hälsomedicinskt center barnhälsovård i Lomma,Privat,False,"Esplanaden 15, Lomma",040-41 80 00,55.6772671,13.0618525,12,1262,,12_SE162321000255-O33184,,,10575,9.5e-05,0,https://www.1177.se/hitta-vard/kontaktkort/HMC-BVC-i-Lomma/,,live_2026-07-21,2026-08-26
SE2321000131-F000000000667,"Kvarterskliniken BVC, Centrum",Unknown,False,"Kungsportsavenyen 32, 411 36, Göteborg",031-339 93 03,57.6996016,11.9761405,14,1480,,14_SE2321000131-F000000000667,2026,2026,19884,5e-05,214,https://www.1177.se/hitta-vard/kontaktkort/Kvarterskliniken-BVC-Centrum-2/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-14KR,Luna barnavårdscentral,Privat,False,"Köpmangatan 3, Södertälje",08-123 670 60,59.1963735,17.6282748,01,0181,,01_SE2321000016-14KR,,,2365,0.000423,728,https://www.1177.se/hitta-vard/kontaktkort/Sodertalje-centrum-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-5294,Mama Mia Sickla,Privat,False,"Smedjegatan 18, NACKA",08-556 744 10,59.3063158,18.1218728,01,0182,,01_SE2321000016-5294,,,15666,6.4e-05,1180,https://www.1177.se/hitta-vard/kontaktkort/Mama-Mia-Sickla-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-107L,Mama Mia Östermalm BVC,Privat,True,"Karlavägen 58, STOCKHOLM",08-506 490 48,59.338771,18.0823517,01,0180,,01_SE2321000016-107L,,,13726,7.3e-05,2646,https://www.1177.se/hitta-vard/kontaktkort/Mama-Mia-Ostermalm-BVC/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
,"Närhälsan Björkekärr barnavårdscentral - Munkebäck, Göteborg",Unknown,False,,,57.7193521,12.0266498,14,1480,,14_X0073,,,19735,5.1e-05,1469,,,,2026-08-26
,"Närhälsan Fjällbacka barnavårdscentral, Hamburgsund",Unknown,False,,,58.5516613,11.2728959,14,1435,,14_X0074,,,694,0.001439,68,,,,2026-08-26
SE2321000198-054465,Sandviken Norra Din hälsocentral,Region,True,"Lasarettsleden 5, 811 60 Sandviken",026-15 40 00,60.6086892,16.7597255,21,2181,,21_SE2321000198-054465,,,1016,0.000983,1670,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Sandviken-Norra-Din-halsocentral/,,live_2026-07-21,2026-08-26
SE165560772419-11DQ,"Vårdcentralen Kasernhöjden, Karlstad",Privat,False,"Infanterigatan 35, Karlstad",010-128 51 00,59.3872136,13.4881798,17,1780,,17_SE165560772419-11DQ,,,5423,0.000184,376,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Kasernhojden/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000115-F82675,"1.Barnavårdscentralen Kattegattkliniken, Halmstad",Region,False,"Kattegattkliniken, Fiskaregatan 19, Halmstad",035-14 60 90,56.663705,12.8540008,13,1380,,13_SE2321000115-F82675,,,6066,0.000165,100,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Kattegattkliniken-Halmstad/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000115-F54736,"1.Barnavårdscentralen Viktoriakliniken, Halmstad",Privat,False,"Kungsgatan 13, Halmstad",035-10 56 10,56.6718054,12.8623546,13,1380,,13_SE2321000115-F54736,,,6862,0.000146,3,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentralen-Viktoriakliniken-Nissan-Halmstad/,,live_2026-07-21,2026-08-26
,"1.Närhälsan Billingen barnavårdscentral, Skövde",Region,False,,,58.3999792,13.8388997,14,1496,,14_X0079,,,3636,0.000275,0,,,,2026-08-26
SE2321000016-64V3,1. BBS Family BVC Kungsholmen,Privat,True,"Sankt Eriksgatan 44, STOCKHOLM",08-120 555 91,59.3348399,18.0332013,01,0180,,01_SE2321000016-64V3,,,19230,5.2e-05,1935,https://www.1177.se/hitta-vard/kontaktkort/BB-Stockholm-Family-Kungsholmen-BVC/,,live_2026-07-21,2026-08-26
SE2321000198-054455,1. Barnavårdscentral Söderhamn Din hälsocentral,Region,True,"Trädgårdsgatan 26, 826 32 Söderhamn",0270-777 90,61.2991215,17.0566538,21,2182,,21_SE2321000198-054455,,,1173,0.000852,212,https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Soderhamn-Din-halsocentral/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000222-0269443,1. Barnmorskemottagning MVC Tärnaby,Unknown,False,"Granvägen 7, 925 32 Tärnaby",090-785 44 70,65.7157561,15.3134328,24,2421,,24_SE2321000222-0269443,,,120,0.008303,56,https://www.1177.se/hitta-vard/kontaktkort/Barnhalsovard-Tarnaby-halsocentral/,,live_2026-07-21,2026-08-26
